광역시도,시도,구시군,선거인수,투표수,당선 정당,2등 정당,당선자 득표수,2등 득표수,계,무효투표수,기권수
인천광역시,서구갑,서구,225827,144188,더불어민주당,미래통합당,76072,60733,142898,1290,81639
인천광역시,서구을,서구,221393,137595,더불어민주당,미래통합당,83671,50763,135733,1862,83798
인천광역시,연수구갑,연수구,124956,80926,더불어민주당,미래통합당,45479,33646,79957,969,44030
인천광역시,연수구을,연수구,176522,127166,더불어민주당,미래통합당,52806,49913,126375,791,49356
인천광역시,중구강화군옹진군,강화군,62017,41162,미래통합당,더불어민주당,24668,14968,40510,652,20855
인천광역시,중구강화군옹진군,옹진군,18582,13651,미래통합당,더불어민주당,7718,5289,13317,334,4931
인천광역시,중구강화군옹진군,중구,115214,71230,더불어민주당,미래통합당,38948,30098,70434,796,43984
전라남도,고흥군보성군장흥군강진군,강진군,31293,22651,더불어민주당,민생당,12105,9519,22155,496,8642
전라남도,고흥군보성군장흥군강진군,고흥군,58877,44680,더불어민주당,민생당,27293,14919,43542,1138,14197
전라남도,고흥군보성군장흥군강진군,보성군,37347,26471,더불어민주당,민생당,17025,8056,25897,574,10876
전라남도,고흥군보성군장흥군강진군,장흥군,34098,24786,더불어민주당,민생당,16349,7255,24253,533,9312
전라남도,나주시화순군,나주시,96891,62737,더불어민주당,민생당,45957,13860,60797,1940,34154
전라남도,나주시화순군,화순군,54477,36078,더불어민주당,민생당,29629,4891,35118,960,18399
전라남도,담양군함평군영광군장성군,담양군,41649,28735,더불어민주당,무소속,25503,1253,28136,599,12914
전라남도,담양군함평군영광군장성군,영광군,46569,30159,더불어민주당,무소속,23227,4055,29521,638,16410
전라남도,담양군함평군영광군장성군,장성군,39878,26662,더불어민주당,무소속,22582,2081,26086,576,13216
전라남도,담양군함평군영광군장성군,함평군,29567,22495,더불어민주당,무소속,15003,4900,21573,922,7072
전라남도,목포시,목포시,189615,128688,더불어민주당,민생당,62065,47528,127269,1419,60927
전라남도,순천시광양시곡성군구례군갑,순천시,192827,135649,더불어민주당,무소속,78480,42476,134008,1641,57178
전라남도,순천시광양시곡성군구례군을,곡성군,25904,18214,더불어민주당,무소속,13635,2081,17880,334,7690
전라남도,순천시광양시곡성군구례군을,광양시,166390,109721,더불어민주당,무소속,67346,28941,108356,1365,56669
전라남도,순천시광양시곡성군구례군을,구례군,23328,16850,더불어민주당,무소속,11461,3362,16528,322,6478
전라남도,여수시갑,여수시,118828,76613,더불어민주당,무소속,48410,23128,75119,1494,42215
전라남도,여수시을,여수시,120540,78442,더불어민주당,무소속,55273,15302,77217,1225,42098
전라남도,영암군무안군신안군,무안군,67280,44668,더불어민주당,민생당,32786,9469,43696,972,22612
전라남도,영암군무안군신안군,신안군,36717,24580,더불어민주당,민생당,18748,4419,23966,614,12137
전라남도,영암군무안군신안군,영암군,46989,30009,더불어민주당,민생당,23127,4947,29343,666,16980
전라남도,해남군완도군진도군,완도군,44311,30967,더불어민주당,민생당,22485,7326,30224,743,13344
